MoleculeType	Identifier	MoleculeName	
Proteins	P54646	UniProt:P54646 PRKAA2	
Proteins	P54619	UniProt:P54619 PRKAG1	
Proteins	Q9UGJ0	UniProt:Q9UGJ0 PRKAG2	
Proteins	O43741	UniProt:O43741 PRKAB2	
Proteins	Q9UGI9	UniProt:Q9UGI9 PRKAG3	
Proteins	Q9Y478	UniProt:Q9Y478 PRKAB1	
Proteins	Q5KU26	UniProt:Q5KU26 COLEC12	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	Q9UM54	UniProt:Q9UM54 MYO6	
Proteins	P11055	UniProt:P11055 MYH3	
Proteins	P12883	UniProt:P12883 MYH7	
Proteins	A7E2Y1	UniProt:A7E2Y1 MYH7B	
Proteins	Q9UKX2	UniProt:Q9UKX2 MYH2	
Proteins	P13533	UniProt:P13533 MYH6	
Proteins	Q9UKX3	UniProt:Q9UKX3 MYH13	
Proteins	P12882	UniProt:P12882 MYH1	
Proteins	Q9Y2K3	UniProt:Q9Y2K3 MYH15	
Proteins	P13535	UniProt:P13535 MYH8	
Proteins	Q6ZMJ2	UniProt:Q6ZMJ2 SCARA5	
Proteins	P53618	UniProt:P53618 COPB1	
Proteins	O14579	UniProt:O14579 COPE	
Proteins	P48444	UniProt:P48444 ARCN1	
Proteins	P61923	UniProt:P61923 COPZ1	
Proteins	P53621	UniProt:P53621 COPA	
Proteins	Q8N6T3	UniProt:Q8N6T3 ARFGAP1	
Proteins	Q9Y678	UniProt:Q9Y678 COPG1	
Proteins	P35606	UniProt:P35606 COPB2	
Proteins	Q9Y623	UniProt:Q9Y623 MYH4	
Proteins	O75886	UniProt:O75886 STAM2	
Proteins	Q92783	UniProt:Q92783 STAM	
Proteins	Q9Y4I1	UniProt:Q9Y4I1 MYO5A	
Proteins	P54920	UniProt:P54920 NAPA	
Proteins	O00186	UniProt:O00186 STXBP3	
Proteins	P02461	UniProt:P02461 COL3A1	
Proteins	P08123	UniProt:P08123 COL1A2	
Proteins	P02462	UniProt:P02462 COL4A1	
Proteins	P02452	UniProt:P02452 COL1A1	
Proteins	P08572	UniProt:P08572 COL4A2	
Proteins	O00471	UniProt:O00471 EXOC5	
Proteins	Q9NV70	UniProt:Q9NV70 EXOC1	
Proteins	Q96KP1	UniProt:Q96KP1 EXOC2	
Proteins	Q8IYI6	UniProt:Q8IYI6 EXOC8	
Proteins	Q9UPT5	UniProt:Q9UPT5 EXOC7	
Proteins	Q8TAG9	UniProt:Q8TAG9 EXOC6	
Proteins	O60645	UniProt:O60645 EXOC3	
Proteins	Q96A65	UniProt:Q96A65 EXOC4	
Proteins	P00739	UniProt:P00739 HPR	
Proteins	O14791	UniProt:O14791 APOL1	
Proteins	P01771	UniProt:P01771 Ig heavy chain V-III region HIL	
Proteins	P01616	UniProt:P01616 Ig kappa chain V-II region MIL	
Proteins	Q5NV69	UniProt:Q5NV69 IGLV1-40	
Proteins	P01710	UniProt:P01710 Ig lambda chain V-II region BO	
Proteins	P04207	UniProt:P04207 Ig kappa chain V-III region CLL	
Proteins	P06312	UniProt:P06312 IGKV4-1	
Proteins	P01623	UniProt:P01623 Ig kappa chain V-III region WOL	
Proteins	P01777	UniProt:P01777 Ig heavy chain V-III region TEI	
Proteins	P01606	UniProt:P01606 Ig kappa chain V-I region OU	
Proteins	P0CF74	UniProt:P0CF74 IGLC6	
Proteins	P01716	UniProt:P01716 Ig lambda chain V-IV region X	
Proteins	P01742	UniProt:P01742 Ig heavy chain V-I region EU	
Proteins	P06889	UniProt:P06889 Ig lambda chain V-IV region MOL	
Proteins	P04208	UniProt:P04208 Ig lambda chain V-I region WAH	
Proteins	P01598	UniProt:P01598 Ig kappa chain V-I region EU	
